date,price
4/28/11,2.2
4/29/11,2.9
4/30/11,3.5
5/1/11,3
5/2/11,3.2
5/3/11,3.4
5/4/11,3.4
5/5/11,3.3
5/6/11,3.5
5/7/11,3.6
5/8/11,3.9
5/9/11,3.8
5/10/11,5.8
5/11/11,5.5
5/12/11,6.3
5/13/11,8.2
5/14/11,7.2
5/15/11,7
5/16/11,8
5/17/11,7.2
5/18/11,6.9
5/19/11,6.8
5/20/11,5.6
5/21/11,6.1
5/22/11,6.7
5/23/11,7.2
5/24/11,7.4
5/25/11,8.4
5/26/11,8.8
5/27/11,8.5
5/28/11,8.3
5/29/11,8.4
5/30/11,8.8
5/31/11,8.7
6/1/11,9.6
6/2/11,10.6
6/3/11,14.3
6/4/11,18.9
6/5/11,16.7
6/6/11,18.5
6/7/11,23.9
6/8/11,29.6
6/9/11,28.9
6/10/11,24
6/11/11,14.6
6/12/11,18.5
6/13/11,19.8
6/14/11,19.3
6/15/11,19.5
6/16/11,17
6/17/11,15.7
6/18/11,16.9
6/19/11,17.5
6/20/11,17.5
6/21/11,17.5
6/22/11,17.5
6/23/11,17.5
6/24/11,17.5
6/25/11,17.5
6/26/11,16.5
6/27/11,16.8
6/28/11,17
6/29/11,16.9
6/30/11,16.1
7/1/11,15.4
7/2/11,15.4
7/3/11,15.4
7/4/11,13.9
7/5/11,12.9
7/6/11,14.8
7/7/11,14.8
7/8/11,14.3
7/9/11,14.4
7/10/11,14.9
7/11/11,14.2
7/12/11,14
7/13/11,13.9
7/14/11,14
7/15/11,13.8
7/16/11,13.7
7/17/11,13.2
7/18/11,13.5
7/19/11,13.9
7/20/11,13.7
7/21/11,13.6
7/22/11,13.7
7/23/11,13.7
7/24/11,14
7/25/11,14.1
7/26/11,13.9
7/27/11,13.9
7/28/11,13.5
7/29/11,13.5
7/30/11,13.5
7/31/11,13.4
8/1/11,13.1
8/2/11,12.1
8/3/11,9.3
8/4/11,10.8
8/5/11,9.8
8/6/11,6.6
8/7/11,7.9
8/8/11,7.8
8/9/11,10
8/10/11,10
8/11/11,9.5
8/12/11,9.5
8/13/11,10.1
8/14/11,10.8
8/15/11,11.1
8/16/11,11
8/17/11,10.9
8/18/11,10.8
8/19/11,11.6
8/20/11,11.4
8/21/11,11.3
8/22/11,10.9
8/23/11,10.9
8/24/11,10.9
8/25/11,9.7
8/26/11,8.2
8/27/11,8.6
8/28/11,9.1
8/29/11,9
8/30/11,8.8
8/31/11,8.2
9/1/11,8.2
9/2/11,8.6
9/3/11,8.5
9/4/11,8.2
9/5/11,7.6
9/6/11,6.9
9/7/11,7.2
9/8/11,6.5
9/9/11,5
9/10/11,4.8
9/11/11,5.9
9/12/11,6.1
9/13/11,5.8
9/14/11,5.6
9/15/11,4.8
9/16/11,4.8
9/17/11,4.8
9/18/11,5.2
9/19/11,5.5
9/20/11,6.1
9/21/11,5.6
9/22/11,5.4
9/23/11,5.6
9/24/11,5.5
9/25/11,5.3
9/26/11,4.9
9/27/11,4.9
9/28/11,4.8
9/29/11,4.8
9/30/11,5.1
10/1/11,5
10/2/11,5
10/3/11,5
10/4/11,5
10/5/11,4.9
10/6/11,4.7
10/7/11,4.3
10/8/11,4
10/9/11,4.1
10/10/11,4.1
10/11/11,3.9
10/12/11,4.2
10/13/11,4.1
10/14/11,4
10/15/11,3.8
10/16/11,3.6
10/17/11,2.6
10/18/11,2.4
10/19/11,2.3
10/20/11,2.3
10/21/11,2.6
10/22/11,3.2
10/23/11,3.2
10/24/11,2.5
10/25/11,2.8
10/26/11,2.8
10/27/11,3
10/28/11,3.2
10/29/11,3.6
10/30/11,3.3
10/31/11,3.3
11/1/11,3.2
11/2/11,3.3
11/3/11,3.2
11/4/11,3.1
11/5/11,3
11/6/11,3
11/7/11,3
11/8/11,3
11/9/11,3
11/10/11,2.8
11/11/11,3.1
11/12/11,3
11/13/11,3
11/14/11,2.2
11/15/11,2.3
11/16/11,2.6
11/17/11,2.3
11/18/11,2
11/19/11,2.2
11/20/11,2.2
11/21/11,2.3
11/22/11,2.3
11/23/11,2.3
11/24/11,2.4
11/25/11,2.5
11/26/11,2.5
11/27/11,2.5
11/28/11,2.5
11/29/11,2.8
11/30/11,3
12/1/11,3.1
12/2/11,3.1
12/3/11,2.8
12/4/11,2.8
12/5/11,2.9
12/6/11,3
12/7/11,3
12/8/11,3
12/9/11,3
12/10/11,3
12/11/11,3.3
12/12/11,3.1
12/13/11,3.3
12/14/11,3.2
12/15/11,3.2
12/16/11,3.2
12/17/11,3.2
12/18/11,3.2
12/19/11,3.5
12/20/11,4
12/21/11,3.9
12/22/11,3.9
12/23/11,4
12/24/11,3.9
12/25/11,4.2
12/26/11,4
12/27/11,4.1
12/28/11,4.2
12/29/11,4.2
12/30/11,4.3
12/31/11,4.7
1/1/12,5.3
1/2/12,5.2
1/3/12,4.9
1/4/12,5.6
1/5/12,6.9
1/6/12,6.7
1/7/12,6.8
1/8/12,7.1
1/9/12,6.3
1/10/12,6.4
1/11/12,6.9
1/12/12,6.8
1/13/12,6.4
1/14/12,6.8
1/15/12,7
1/16/12,6.7
1/17/12,5.6
1/18/12,5.9
1/19/12,6.4
1/20/12,6.5
1/21/12,6.2
1/22/12,6.3
1/23/12,6.4
1/24/12,6.3
1/25/12,5.8
1/26/12,5.3
1/27/12,5.3
1/28/12,5.6
1/29/12,5.4
1/30/12,5.5
1/31/12,5.5
2/1/12,6.1
2/2/12,6.1
2/3/12,6
2/4/12,5.9
2/5/12,5.7
2/6/12,5.4
2/7/12,5.7
2/8/12,5.6
2/9/12,5.8
2/10/12,5.9
2/11/12,5.6
2/12/12,5.5
2/13/12,5.3
2/14/12,4.5
2/15/12,4.3
2/16/12,4.3
2/17/12,4.4
2/18/12,4.2
2/19/12,4.4
2/20/12,4.4
2/21/12,4.3
2/22/12,4.4
2/23/12,5
2/24/12,5
2/25/12,4.8
2/26/12,4.9
2/27/12,5
2/28/12,4.9
2/29/12,4.9
3/1/12,4.9
3/2/12,4.7
3/3/12,4.6
3/4/12,4.8
3/5/12,5
3/6/12,5
3/7/12,4.9
3/8/12,4.9
3/9/12,4.9
3/10/12,4.8
3/11/12,4.9
3/12/12,4.9
3/13/12,5.3
3/14/12,5.4
3/15/12,5.3
3/16/12,5.3
3/17/12,5.2
3/18/12,5.3
3/19/12,4.7
3/20/12,4.8
3/21/12,4.8
3/22/12,4.7
3/23/12,4.7
3/24/12,4.7
3/25/12,4.6
3/26/12,4.6
3/27/12,4.8
3/28/12,4.8
3/29/12,4.8
3/30/12,4.9
3/31/12,4.9
4/1/12,4.8
4/2/12,5
4/3/12,4.9
4/4/12,4.9
4/5/12,4.9
4/6/12,4.9
4/7/12,4.7
4/8/12,4.8
4/9/12,4.9
4/10/12,4.8
4/11/12,4.9
4/12/12,4.9
4/13/12,4.9
4/14/12,5
4/15/12,5
4/16/12,4.9
4/17/12,5
4/18/12,5.1
4/19/12,5.1
4/20/12,5.3
4/21/12,5.3
4/22/12,5.2
4/23/12,5
4/24/12,5.1
4/25/12,5.1
4/26/12,5.1
4/27/12,5.1
4/28/12,5
4/29/12,4.9
4/30/12,4.9
5/1/12,5
5/2/12,5.1
5/3/12,5.1
5/4/12,5.1
5/5/12,5.1
5/6/12,5.1
5/7/12,5.1
5/8/12,5.1
5/9/12,5
5/10/12,4.8
5/11/12,5
5/12/12,4.9
5/13/12,4.9
5/14/12,5
5/15/12,5
5/16/12,5.1
5/17/12,5.1
5/18/12,5.1
5/19/12,5.1
5/20/12,5.1
5/21/12,5.1
5/22/12,5.1
5/23/12,5.1
5/24/12,5.1
5/25/12,5.2
5/26/12,5.1
5/27/12,5.1
5/28/12,5.1
5/29/12,5.2
5/30/12,5.1
5/31/12,5.2
6/1/12,5.3
6/2/12,5.3
6/3/12,5.2
6/4/12,5.3
6/5/12,5.4
6/6/12,5.5
6/7/12,5.6
6/8/12,5.6
6/9/12,5.6
6/10/12,5.5
6/11/12,5.6
6/12/12,5.7
6/13/12,5.9
6/14/12,5.9
6/15/12,6.5
6/16/12,6.4
6/17/12,6.2
6/18/12,6.3
6/19/12,6.5
6/20/12,6.7
6/21/12,6.7
6/22/12,6.6
6/23/12,6.4
6/24/12,6.3
6/25/12,6.3
6/26/12,6.4
6/27/12,6.7
6/28/12,6.6
6/29/12,6.7
6/30/12,6.7
7/1/12,6.6
7/2/12,6.8
7/3/12,6.4
7/4/12,6.5
7/5/12,6.7
7/6/12,6.7
7/7/12,6.8
7/8/12,6.8
7/9/12,7
7/10/12,7.2
7/11/12,7.2
7/12/12,7.8
7/13/12,7.7
7/14/12,7.5
7/15/12,7.6
7/16/12,8.5
7/17/12,8.8
7/18/12,9.1
7/19/12,8.9
7/20/12,8.5
7/21/12,8.9
7/22/12,8.4
7/23/12,8.4
7/24/12,8.6
7/25/12,8.8
7/26/12,8.9
7/27/12,8.9
7/28/12,8.9
7/29/12,8.7
7/30/12,9.1
7/31/12,9.4
8/1/12,9.6
8/2/12,10.5
8/3/12,11
8/4/12,11
8/5/12,10.9
8/6/12,10.9
8/7/12,11.1
8/8/12,11.1
8/9/12,11.1
8/10/12,11.4
8/11/12,11.5
8/12/12,11.6
8/13/12,12
8/14/12,12.2
8/15/12,13.3
8/16/12,13.5
8/17/12,11.6
8/18/12,11.6
8/19/12,8
8/20/12,10.1
8/21/12,9.9
8/22/12,9.8
8/23/12,10.1
8/24/12,10.6
8/25/12,10.5
8/26/12,10.6
8/27/12,10.9
8/28/12,10.9
8/29/12,10.9
8/30/12,10.8
8/31/12,10.2
9/1/12,10
9/2/12,10.2
9/3/12,10.5
9/4/12,10.4
9/5/12,11
9/6/12,11.2
9/7/12,11
9/8/12,11
9/9/12,11
9/10/12,11.2
9/11/12,11.3
9/12/12,11.4
9/13/12,11.4
9/14/12,11.7
9/15/12,11.8
9/16/12,11.9
9/17/12,11.9
9/18/12,12.3
9/19/12,12.6
9/20/12,12.3
9/21/12,12.4
9/22/12,12.2
9/23/12,12.2
9/24/12,12.1
9/25/12,12.2
9/26/12,12.3
9/27/12,12.3
9/28/12,12.4
9/29/12,12.4
9/30/12,12.4
10/1/12,12.4
10/2/12,12.8
10/3/12,12.9
10/4/12,12.9
10/5/12,12.7
10/6/12,12.5
10/7/12,11.8
10/8/12,11.8
10/9/12,11.9
10/10/12,12.1
10/11/12,12
10/12/12,12
10/13/12,11.9
10/14/12,11.7
10/15/12,11.8
10/16/12,11.9
10/17/12,11.8
10/18/12,11.9
10/19/12,11.7
10/20/12,11.7
10/21/12,11.6
10/22/12,11.7
10/23/12,11.6
10/24/12,11.6
10/25/12,10.9
10/26/12,10.2
10/27/12,10.3
10/28/12,10.7
10/29/12,10.6
10/30/12,10.9
10/31/12,11.2
11/1/12,10.6
11/2/12,10.5
11/3/12,10.6
11/4/12,10.8
11/5/12,10.8
11/6/12,10.9
11/7/12,10.9
11/8/12,10.9
11/9/12,10.8
11/10/12,10.9
11/11/12,10.9
11/12/12,11
11/13/12,10.9
11/14/12,10.9
11/15/12,11.2
11/16/12,11.8
11/17/12,11.8
11/18/12,11.6
11/19/12,11.8
11/20/12,11.7
11/21/12,11.8
11/22/12,12.4
11/23/12,12.4
11/24/12,12.4
11/25/12,12.5
11/26/12,12.3
11/27/12,12.2
11/28/12,12.4
11/29/12,12.4
11/30/12,12.6
12/1/12,12.6
12/2/12,12.5
12/3/12,12.7
12/4/12,13.4
12/5/12,13.4
12/6/12,13.3
12/7/12,13.5
12/8/12,13.4
12/9/12,13.4
12/10/12,13.4
12/11/12,13.6
12/12/12,13.7
12/13/12,13.7
12/14/12,13.6
12/15/12,13.5
12/16/12,13.3
12/17/12,13.3
12/18/12,13.3
12/19/12,13.6
12/20/12,13.5
12/21/12,13.5
12/22/12,13.4
12/23/12,13.3
12/24/12,13.4
12/25/12,13.4
12/26/12,13.5
12/27/12,13.4
12/28/12,13.4
12/29/12,13.4
12/30/12,13.4
12/31/12,13.5
1/1/13,13.3
1/2/13,13.3
1/3/13,13.4
1/4/13,13.5
1/5/13,13.4
1/6/13,13.4
1/7/13,13.6
1/8/13,13.7
1/9/13,13.8
1/10/13,14.1
1/11/13,14.1
1/12/13,14.2
1/13/13,14.1
1/14/13,14.3
1/15/13,14.3
1/16/13,14.7
1/17/13,15.5
1/18/13,15.7
1/19/13,15.6
1/20/13,15.7
1/21/13,16.8
1/22/13,17.3
1/23/13,17.5
1/24/13,16.9
1/25/13,17.4
1/26/13,17.9
1/27/13,17.8
1/28/13,18.7
1/29/13,19.5
1/30/13,19.7
1/31/13,20.4
2/1/13,20.5
2/2/13,19.6
2/3/13,20.6
2/4/13,20.4
2/5/13,20.6
2/6/13,21.2
2/7/13,22.1
2/8/13,22.7
2/9/13,23.6
2/10/13,24
2/11/13,24.6
2/12/13,25.2
2/13/13,24.2
2/14/13,27.2
2/15/13,27.1
2/16/13,27.2
2/17/13,26.8
2/18/13,27
2/19/13,29.4
2/20/13,29.6
2/21/13,29.8
2/22/13,30.3
2/23/13,29.8
2/24/13,29.9
2/25/13,30.4
2/26/13,31.1
2/27/13,30.9
2/28/13,33.4
3/1/13,34.5
3/2/13,34.3
3/3/13,34.5
3/4/13,36.2
3/5/13,40.3
3/6/13,41
3/7/13,42
3/8/13,44.2
3/9/13,46.8
3/10/13,46
3/11/13,48.4
3/12/13,44.3
3/13/13,46.9
3/14/13,47.2
3/15/13,47
3/16/13,47
3/17/13,47.4
3/18/13,51.6
3/19/13,59.1
3/20/13,64.5
3/21/13,70.8
3/22/13,69.9
3/23/13,64.3
3/24/13,71.5
3/25/13,73.6
3/26/13,78.5
3/27/13,88.9
3/28/13,86.2
3/29/13,90.5
3/30/13,92.2
3/31/13,93
4/1/13,104
4/2/13,118
4/3/13,135
4/4/13,132.1
4/5/13,142.3
4/6/13,142.6
4/7/13,162.3
4/8/13,187.5
4/9/13,230
4/10/13,165
4/11/13,124.9
4/12/13,117
4/13/13,93
4/14/13,90
4/15/13,82.4
4/16/13,68.4
4/17/13,93.1
4/18/13,109
4/19/13,118.5
4/20/13,126.6
4/21/13,119.2
4/22/13,127.4
4/23/13,143.5
4/24/13,154.2
4/25/13,141.7
4/26/13,136.9
4/27/13,128
4/28/13,134.4
4/29/13,144
4/30/13,139.2
5/1/13,116.4
5/2/13,106.3
5/3/13,98.1
5/4/13,112.9
5/5/13,116
5/6/13,112.3
5/7/13,109.6
5/8/13,113.2
5/9/13,112.8
5/10/13,117.7
5/11/13,115.6
5/12/13,114.8
5/13/13,118
5/14/13,111.4
5/15/13,114.2
5/16/13,118.2
5/17/13,123.5
5/18/13,123.2
5/19/13,122.5
5/20/13,122
5/21/13,122.9
5/22/13,123.8
5/23/13,126.3
5/24/13,133.1
5/25/13,132
5/26/13,133.5
5/27/13,129.8
5/28/13,129
5/29/13,132.3
5/30/13,128.8
5/31/13,128.8
6/1/13,129.3
6/2/13,122.5
6/3/13,120.7
6/4/13,121.4
6/5/13,121.9
6/6/13,119
6/7/13,111
6/8/13,107.9
6/9/13,100.4
6/10/13,106.3
6/11/13,109
6/12/13,108.8
6/13/13,103.9
6/14/13,100
6/15/13,99.8
6/16/13,99.9
6/17/13,101.9
6/18/13,107.3
6/19/13,108.3
6/20/13,111.3
6/21/13,109.5
6/22/13,108.2
6/23/13,107.9
6/24/13,102.1
6/25/13,103.3
6/26/13,104
6/27/13,101.7
6/28/13,94.7
6/29/13,95
6/30/13,97.5
7/1/13,88.1
7/2/13,90.4
7/3/13,78.9
7/4/13,80
7/5/13,68.5
7/6/13,69.7
7/7/13,76.5
7/8/13,76
7/9/13,76.7
7/10/13,88
7/11/13,89
7/12/13,94
7/13/13,98.3
7/14/13,94.4
7/15/13,98.9
7/16/13,97.1
7/17/13,98.5
7/18/13,90.1
7/19/13,92
7/20/13,89.8
7/21/13,92
7/22/13,91.6
7/23/13,95.6
7/24/13,95.1
7/25/13,96.9
7/26/13,96
7/27/13,94.4
7/28/13,98.8
7/29/13,101.5
7/30/13,108
7/31/13,106.2
8/1/13,104
8/2/13,104.5
8/3/13,104.9
8/4/13,105.1
8/5/13,106.7
8/6/13,106.6
8/7/13,106
8/8/13,103.1
8/9/13,102.8
8/10/13,103
8/11/13,105
8/12/13,106.8
8/13/13,109.6
8/14/13,112.6
8/15/13,110
8/16/13,109
8/17/13,112.8
8/18/13,113.4
8/19/13,118.5
8/20/13,121.2
8/21/13,123.3
8/22/13,122
8/23/13,118.5
8/24/13,119.6
8/25/13,122.1
8/26/13,120.1
8/27/13,131.3
8/28/13,128.8
8/29/13,129.3
8/30/13,138
8/31/13,141
9/1/13,146
9/2/13,144
9/3/13,144
9/4/13,132.5
9/5/13,130.2
9/6/13,121.9
9/7/13,129
9/8/13,126.3
9/9/13,133.1
9/10/13,132.6
9/11/13,142.1
9/12/13,139.4
9/13/13,140.7
9/14/13,136.7
9/15/13,138.3
9/16/13,139.4
9/17/13,139.1
9/18/13,140.4
9/19/13,135.1
9/20/13,133.8
9/21/13,134.4
9/22/13,134
9/23/13,133.4
9/24/13,134.8
9/25/13,135
9/26/13,137.1
9/27/13,138.9
9/28/13,142.5
9/29/13,143.9
9/30/13,141.9
10/1/13,140.3
10/2/13,123
10/3/13,131
10/4/13,136.8
10/5/13,136.7
10/6/13,137.8
10/7/13,135.8
10/8/13,136.5
10/9/13,139.5
10/10/13,140.4
10/11/13,140.1
10/12/13,142.9
10/13/13,147.5
10/14/13,151.4
10/15/13,158.1
10/16/13,152.8
10/17/13,157.6
10/18/13,168.3
10/19/13,183.1
10/20/13,186.1
10/21/13,192.8
10/22/13,203
10/23/13,228
10/24/13,207
10/25/13,197.9
10/26/13,188.6
10/27/13,206.9
10/28/13,206.9
10/29/13,216
10/30/13,208
10/31/13,211.2
11/1/13,213.4
11/2/13,211.7
11/3/13,224
11/4/13,238.2
11/5/13,251.3
11/6/13,264.1
11/7/13,309.6
11/8/13,355
11/9/13,367.8
11/10/13,336.3
11/11/13,363
11/12/13,380
11/13/13,434.9
11/14/13,433.4
11/15/13,433.9
11/16/13,462
11/17/13,528.3
11/18/13,785.4
11/19/13,645.7
11/20/13,638
11/21/13,764.9
11/22/13,802
11/23/13,832.5
11/24/13,795
11/25/13,830
11/26/13,970
11/27/13,1079.9
11/28/13,1101.4
11/29/13,1206.9
11/30/13,1205.7
12/1/13,1004.4
12/2/13,1096.6
12/3/13,1154.9
12/4/13,1237.6
12/5/13,1106.3
12/6/13,845
12/7/13,697
12/8/13,804
12/9/13,919
12/10/13,1033.7
12/11/13,919.9
12/12/13,900
12/13/13,936.8
12/14/13,908.9
12/15/13,919.9
12/16/13,759.9
12/17/13,715
12/18/13,541
12/19/13,732
12/20/13,650
12/21/13,640.5
12/22/13,639.5
12/23/13,713.2
12/24/13,702.8
12/25/13,707.3
12/26/13,802
12/27/13,803
12/28/13,762
12/29/13,785
12/30/13,804.8
12/31/13,805.9
1/1/14,815.9
1/2/14,856.9
1/3/14,884.3
1/4/14,924.7
1/5/14,1014.7
1/6/14,1012.7
1/7/14,879.9
1/8/14,938.8
1/9/14,937
1/10/14,957.8
1/11/14,1005.3
1/12/14,939.8
1/13/14,922.9
1/14/14,919.3
1/15/14,941.2
1/16/14,913.5
1/17/14,894.2
1/18/14,905.7
1/19/14,954.8
1/20/14,956
1/21/14,962.2
1/22/14,951
1/23/14,944.2
1/24/14,916.5
1/25/14,961
1/26/14,1007
1/27/14,943.5
1/28/14,932.7
1/29/14,925.7
1/30/14,941.4
1/31/14,938.8
2/1/14,940.4
2/2/14,953.3
2/3/14,931.7
2/4/14,926.6
2/5/14,904.5
2/6/14,828.9
2/7/14,695.7
2/8/14,648.8
2/9/14,659.6
2/10/14,582.6
2/11/14,579
2/12/14,531.1
2/13/14,451.4
2/14/14,427.7
2/15/14,371.1
2/16/14,299.8
2/17/14,272.3
2/18/14,294
2/19/14,261.5
2/20/14,111.9
2/21/14,111.6
2/22/14,255.6
2/23/14,310.2
2/24/14,174
2/25/14,135.8
2/26/14,593.1
2/27/14,596.5
2/28/14,573.9
3/1/14,557.4
3/2/14,544.6
3/3/14,662.2
3/4/14,661.8
3/5/14,658.3
3/6/14,648.3
3/7/14,616.7
3/8/14,609.2
3/9/14,627
3/10/14,613
3/11/14,608.7
3/12/14,619.4
3/13/14,625
3/14/14,614
3/15/14,624
3/16/14,619.1
3/17/14,606.4
3/18/14,598.9
3/19/14,595
3/20/14,566
3/21/14,549.6
3/22/14,564.3
3/23/14,551.2
3/24/14,567.6
3/25/14,562.9
3/26/14,562.5
3/27/14,460.5
3/28/14,482.6
3/29/14,477.1
3/30/14,446.9
3/31/14,444.7
4/1/14,463.5
4/2/14,424.4
4/3/14,436.3
4/4/14,444.4
4/5/14,456.6
4/6/14,455.7
4/7/14,462.4
4/8/14,466.6
4/9/14,457.3
4/10/14,384.6
4/11/14,435.1
4/12/14,437.6
4/13/14,427.6
4/14/14,478.4
4/15/14,526.4
4/16/14,537
4/17/14,502
4/18/14,485.5
4/19/14,506
4/20/14,498.5
4/21/14,495.2
4/22/14,487.9
4/23/14,487.3
4/24/14,500.3
4/25/14,464.5
4/26/14,457.9
4/27/14,443.2
4/28/14,441.9
4/29/14,446.1
4/30/14,445.6
5/1/14,460.1
5/2/14,453.7
5/3/14,438.6
5/4/14,436
5/5/14,430.9
5/6/14,432.2
5/7/14,446.5
5/8/14,441.1
5/9/14,445.5
5/10/14,451.9
5/11/14,433.2
5/12/14,438.2
5/13/14,433.9
5/14/14,442.6
5/15/14,448.1
5/16/14,453.6
5/17/14,452.8
5/18/14,450.1
5/19/14,443.9
5/20/14,484.6
5/21/14,488.8
5/22/14,515.4
5/23/14,518.1
5/24/14,520.5
5/25/14,570.4
5/26/14,582
5/27/14,570.1
5/28/14,570.8
5/29/14,564.4
5/30/14,612.3
5/31/14,627.9
6/1/14,649.8
6/2/14,655.5
6/3/14,669.4
6/4/14,638.9
6/5/14,660.2
6/6/14,650.4
6/7/14,651.7
6/8/14,651
6/9/14,644.3
6/10/14,655.6
6/11/14,643
6/12/14,597.1
6/13/14,610.3
6/14/14,583.4
6/15/14,582.3
6/16/14,599.1
6/17/14,605.1
6/18/14,606.2
6/19/14,600.2
6/20/14,590.8
6/21/14,597
6/22/14,603.6
6/23/14,591.2
6/24/14,588.8
6/25/14,568.5
6/26/14,582.7
6/27/14,602.2
6/28/14,597.6
6/29/14,601.1
6/30/14,635.1
7/1/14,643.2
7/2/14,645.7
7/3/14,638
7/4/14,624
7/5/14,623
7/6/14,626.7
7/7/14,613.6
7/8/14,615.3
7/9/14,623
7/10/14,618.4
7/11/14,632.9
7/12/14,635.9
7/13/14,628
7/14/14,618.3
7/15/14,619.6
7/16/14,614.8
7/17/14,626.6
7/18/14,627.5
7/19/14,627
7/20/14,621
7/21/14,625.1
7/22/14,622.5
7/23/14,621.7
7/24/14,601.9
7/25/14,600.5
7/26/14,596
7/27/14,595
7/28/14,587.9
7/29/14,585.8
7/30/14,564.6
7/31/14,589.5
8/1/14,598.8
8/2/14,591.7
8/3/14,588.9
8/4/14,592.8
8/5/14,588.8
8/6/14,589.8
8/7/14,592.8
8/8/14,595.8
8/9/14,589.5
8/10/14,592.1
8/11/14,575.9
8/12/14,567.7
8/13/14,542.1
8/14/14,504.8
8/15/14,496.5
8/16/14,522
8/17/14,485.5
8/18/14,462.2
8/19/14,485.1
8/20/14,516.8
8/21/14,517.9
8/22/14,516.1
8/23/14,497.7
8/24/14,509.7
8/25/14,502.9
8/26/14,512.6
8/27/14,515.2
8/28/14,510.8
8/29/14,512.6
8/30/14,506
8/31/14,481.8
9/1/14,477.2
9/2/14,478.9
9/3/14,480
9/4/14,491
9/5/14,483.6
9/6/14,484.5
9/7/14,485.8
9/8/14,475.7
9/9/14,474.9
9/10/14,479.7
9/11/14,478.5
9/12/14,477.7
9/13/14,478.2
9/14/14,477.7
9/15/14,477.7
9/16/14,466.8
9/17/14,461.1
9/18/14,424.3
9/19/14,397.7
9/20/14,411.5
9/21/14,401.6
9/22/14,404.1
9/23/14,436.9
9/24/14,423.8
9/25/14,412.3
9/26/14,404.5
9/27/14,399
9/28/14,379.1
9/29/14,376.8
9/30/14,388.2
10/1/14,382.8
10/2/14,375.1
10/3/14,363.5
10/4/14,335.3
10/5/14,322.9
10/6/14,331.5
10/7/14,331.6
10/8/14,350.9
10/9/14,360.9
10/10/14,361.7
10/11/14,361.2
10/12/14,373.2
10/13/14,387.3
10/14/14,397.1
10/15/14,393.2
10/16/14,379.8
10/17/14,380.5
10/18/14,390.9
10/19/14,387.3
10/20/14,380.4
10/21/14,382.4
10/22/14,378.9
10/23/14,355.8
10/24/14,355.1
10/25/14,346.7
10/26/14,348.7
10/27/14,350.1
10/28/14,351.1
10/29/14,335.1
10/30/14,344.9
10/31/14,337.9
11/1/14,325.4
11/2/14,322.5
11/3/14,324.2
11/4/14,328
11/5/14,338
11/6/14,347.7
11/7/14,341.9
11/8/14,343.5
11/9/14,362
11/10/14,367.1
11/11/14,365.4
11/12/14,432
11/13/14,428.7
11/14/14,396.5
11/15/14,374.9
11/16/14,385.6
11/17/14,384.7
11/18/14,379.2
11/19/14,381.4
11/20/14,357.3
11/21/14,351.8
11/22/14,352
11/23/14,365.9
11/24/14,378.9
11/25/14,376.4
11/26/14,365.4
11/27/14,368.8
11/28/14,377.6
11/29/14,376.3
11/30/14,374.9
12/1/14,378.6
12/2/14,380.6
12/3/14,377
12/4/14,369.8
12/5/14,377.6
12/6/14,376.3
12/7/14,376.5
12/8/14,365
12/9/14,352.2
